1;<Manuel Rosa de Oliveira Lino>;[Bioquímica, Economia, Engenharia Civil];[Estatística Sócio-Econômica, Lipídeos, Processos Construtivos]
1;<Silvia Modesto Nassar>;[Ciência da Computação, Medicina, Probabilidade e Estatística];[Análise de Dados, Banco de Dados, Gerência de Redes de Computadores, Informática Médica, Inteligência Artificial, Pediatria, Software Básico]
1;<José Leomar Todesco>;[Administração, Ciência da Computação, Ciência da Informação, Direito, Educação, Engenharia Elétrica, Engenharia de Produção, Planejamento Urbano e Regional];[Agentes Inteligentes, Análise de Custos, Arquitetura de Sistemas de Computação, Banco de Dados, Conjuntos Difusos, Data Warehouse, Desenvolvimento de Produto, Direito Civil, Economia de Tecnologia, Educação Especial, Educação a Distância, Engenharia de Software, Garantia de Controle de Qualidade, Hardware, Linguagens de Programação, Mineração de Dados, Mineração de Texto, Métodos e Técnicas de Ensino, Ontologias, Planejamento Institucional, Planejamento em Ciência e Tecnologia, Política e Planejamento Governamentais, Processos Estocásticos e Teoria das Filas, Processos de Disseminação da Informação, Reconhecimento de Padrões, Redes Neuronais Artificiais, Sistemas Especialistas, Sistemas de Informação, Sistemas de Telecomunicações, Software Básico, Tecnologia Educacional, Tecnologia da Informação, Teleinformática, Transmissão da Energia Elétrica, Distribuição da Energia Elétrica, Transporte e Tráfego Urbano e Regional]
1;<Fernando Alvaro Ostuni Gauthier>;[Ciência da Computação];[Sistemas de Informação]
1;<Mario Antonio Ribeiro Dantas>;[Ciência da Computação, Engenharia de Produção];[Arquitetura de Sistemas de Computação, Computação Paralela e Distribuída, Hardware, Sistemas de Informação, Software Básico, Teleinformática, Teoria dos Jogos]
1;<Aldo von Wangenheim>;[Ciência da Computação, Ciência da Informação, Comunicação, Educação, Engenharia Biomédica, Engenharia Elétrica, Engenharia Mecânica, Engenharia de Produção, Física, Geociências, Matemática, Medicina];[Arquitetura de Sistemas de Computação, Banco de Dados, Cancerologia, Cardiologia, Cirurgia Cardiovascular, Cirurgia Otorrinolaringológica, Climatologia, Educação Permanente, Educação de Adultos, Engenharia de Software, Garantia de Controle de Qualidade, Gerência do Projeto e do Produto, Instrumentação Meteorológica, Linguagem Formais e Autômatos, Linguagens de Programação, Matemática Discreta e Combinatória, Meteorologia Sinótica, Modelos Analíticos e de Simulação, Métodos e Técnicas de Ensino, Neurologia, Neuropatologia, Oftalmologia, Ortopedia, Otorrinolaringologia, Pediatria, Petrologia, Processamento Gráfico (Graphics), Processamento de Imagens, Processamento de Sinais Biológicos, Representação da Informação, Sensoriamento Remoto da Atmosfera, Sistemas de Informação, Sistemas de Telecomunicações, Tecnologia Educacional, Teleinformática, Telerradiologia, Videodifusão, prototipagem rápida, Ótica]
1;<Raul Sidnei Wazlawick>;[Administração, Ciência da Computação, Educação, Engenharia Elétrica];[Administração de Recursos Humanos, Banco de Dados, Educação a Distância, Engenharia de Software, Inteligência Artificial, Linguagens de Programação, Organizações Públicas, Realidade Virtual, Sistemas de Informação, Software Básico, Transmissão da Energia Elétrica, Distribuição da Energia Elétrica]
1;<Lia Caetano Bastos>;[Administração, Ciência da Informação, Engenharia de Produção];[Administração de Recursos Humanos, Desenvolvimento de Produto, Representação da Informação]
1;<Gregório Jean Varvakis Rados>;[Administração, Ciência da Computação, Ciência da Informação, Economia, Engenharia Civil, Engenharia Mecânica, Engenharia de Produção];[Administração da Produção, Engenharia de Software, Garantia de Controle de Qualidade, Gerência do Projeto e do Produto, Gestão Hospitalar, Gestão da Informação, Gestão de Serviços, Mercadologia, Organização Industrial e Estudos Industriais, Planejamento, Projeto e Controle de Sistemas de Produção, Processos Construtivos, Processos da Comunicação, Processos de Disseminação da Informação, Processos de Fabricação, Seleção Econômica, Software Básico]
1;<Paulo Mauricio Selig>;[Administração, Engenharia de Produção];[Análise de Custos, Análise de Valor, Garantia de Controle de Qualidade, Gerenciamento de Processos, Gestão da Estratégia, Gestão da Qualidade, Gestão do Conhecimento, Processos de Trabalho]
2;<Fernando Augusto da Silva Cruz>;[Ciência da Computação, Ciência e Tecnologia de Alimentos, Engenharia Elétrica];[Arquitetura de Sistemas de Computação, Avaliação e Controle de Qualidade de Alimentos, Circuitos Eletrônicos, Padrões, Legislação e Fiscalização de Alimentos, Reconhecimento de Padrões, Sistemas de Informação, Software Básico, Teleinformática]
2;<João Bosco Mangueira Sobral>;[Ciência da Computação, Matemática];[Agentes Móveis, Aplicativos Web, Arquitetura de Sistemas de Computação, Computação Com Objetos Distribuídos, Comércio Eletrônico, Frameworks, Gerência de Redes de Telecomunicações, Gerência de Serviços, J2me, Programação Para Web, Redes de Computadores, Referência Ambígua, Segurança de Sistemas de Computaçao, Sistemas de Informação, Software Aplicativo, Software Básico, Web Services]
2;<Joao Candido Lima Dovicchi>;[Artes, Ciência da Computação, Educação, Engenharia Civil, Engenharia Elétrica, Engenharia de Produção, Matemática];[Administração de Sistemas Educacionais, Análise Numérica, Análise de Algoritmos e Complexidade de Computação, Arquitetura de Sistemas de Computação, Canto, Composição Musical, Computação Sônica, Educação a Distância, Educação de Adultos, Engenharia de Software, Ensino Profissionalizante, Instrumentação Musical, Linguagem Formais e Autômatos, Linguagens de Programação, Matemática Discreta e Combinatória, Mecânica das Estruturas, Modelos Analíticos e de Simulação, Musicologia, Planejamento Educacional, Planejamento, Projeto e Controle de Sistemas de Produção, Processamento Digital de Sinais, Sistemas de Informação, Sistemas de Telecomunicações, Software Básico, Sonoplastia, Tecnologia Educacional, Teleinformática, Teoria Geral de Planejamento e Desenvolvimento Curricular]
3;<Luciana de Oliveira Rech>;[];[]
3;<Jean Marie Alexandre Farines>;[Ciência da Computação, Educação, Engenharia Aeroespacial, Engenharia Elétrica, Engenharia de Transportes];[Adaptação de Qos, Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Circuitos Eletrônicos, Controle Númerico de Maquinas Elétricas, Controle de Processos Eletrônicos, Retroalimentação, Controle de QoS, Educação Tecnologica, Educação Tecnológica Em Automação, Eletrônica Industrial, Engenharia de Software, Linguagem Formais e Autômatos, Linguagens de Programação, Modelagem de Sistemas, Métodos e Técnicas de Ensino, Otimização, Redes de Computadores, Robótica móvel, Sistemas Distribuídos, Sistemas Embarcados, Sistemas Híbridos, Sistemas Multimídias Distribuídos, Sistemas Tempo Real, Sistemas a Eventos Discretos, Sistemas de Controle e Supervisão, Sistemas de Informação, Sistemas de Informação em Transportes, Tecnologia Educacional, Teleinformática, Teoria de Controle, Tolerância a falhas, Veiculo aereo não tripulado, Verificação de Sistemas]
3;<Joni da Silva Fraga>;[Ciência da Computação];[Arquitetura de Sistemas de Computação, Intrusion Tolerance, Linguagem Formais e Autômatos, Segurança Em Sistemas Computacionais, Segurança em Sistemas Computacionais, Sistemas Distribuídos, Sistemas de Multimídia, Sistemas de Tempo Real, Teleinformática, Tolerância a Falhas]
3;<Frank Augusto Siqueira>;[Ciência da Computação, Engenharia Elétrica];[Sistemas de Informação, Sistemas de Telecomunicações, Transmissão da Energia Elétrica, Distribuição da Energia Elétrica]
4;<Ricardo Felipe Custodio>;[Administração, Ciência da Computação, Engenharia Biomédica, Engenharia Elétrica, Física, Matemática, Medicina];[Análise Numérica, Análise de Algoritmos e Complexidade de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Computabilidade e Modelos de Computação, Criptografia, GOVERNO ELETRÔNICO, Hardware, Instrumentação Odontológica e Médico-Hospitalar, Matemática Aplicada, Pneumologia, Processamento de Sinais Biológicos, Segurança, Segurança em Informática, Sistemas de Informação, Sistemas de Telecomunicações, Software Básico, Teleinformática]
